Time;Value
0;0.998895765
0.100010001;0.95680044
0.200020002;0.824533066
0.300030003;0.622395169
0.400040004;0.36481576
0.500050005;0.073987305
0.600060006;-0.220550979
0.700070007;-0.49693736
0.800080008;-0.725619344
0.900090009;-0.892207506
1.00010001;-0.977905388
1.100110011;-0.974696077
1.200120012;-0.886218355
1.300130013;-0.7175981
1.400140014;-0.484456073
1.500150015;-0.211546449
1.600160016;0.080176537
1.700170017;0.365230074
1.800180018;0.617942901
1.900190019;0.814337307
2.00020002;0.934921833
2.100210021;0.973459784
2.200220022;0.926361703
2.300230023;0.794594595
2.400240024;0.591899166
2.500250025;0.338573251
2.600260026;0.053798332
2.700270027;-0.232967398
2.800280028;-0.497675717
2.900290029;-0.719603803
3.00030003;-0.878280701
3.100310031;-0.955270341
3.200320032;-0.947692734
3.300330033;-0.854680007
3.400340034;-0.688078284
3.500350035;-0.457263931
3.600360036;-0.188389799
3.700370037;0.096038431
3.800380038;0.371473424
3.900390039;0.613706678
4.00040004;0.800329706
4.100410041;0.91535594
4.200420042;0.948304624
4.300430043;0.897562321
4.400440044;0.765415119
4.500450045;0.564876211
4.600460046;0.314377021
4.700470047;0.039425415
4.800480048;-0.24176427
4.900490049;-0.498682749
5.00050005;-0.710785701
5.100510051;-0.859639919
5.200520052;-0.932508278
5.300530053;-0.919356511
5.400540054;-0.824936538
5.500550055;-0.657521621
5.600560056;-0.431724322
5.700570057;-0.167365162
5.800580058;0.108731645
5.900590059;0.376076232
6.00060006;0.611344675
6.100610061;0.78854117
6.200620062;0.898169926
6.300630063;0.921693756
6.400640064;0.86647697
6.500650065;0.734955585
6.600660066;0.535569226
6.700670067;0.292178876
6.800680068;0.020168135
6.900690069;-0.251329281
7.00070007;-0.501405128
7.100710071;-0.702213588
7.200720072;-0.843621649
7.300730073;-0.912046949
7.400740074;-0.892195859
7.500750075;-0.796556818
7.600760076;-0.628598133
7.700770077;-0.407589448
7.800780078;-0.146854884
7.900790079;0.123227098
8.00080008;0.382629444
8.100810081;0.605154806
8.200820082;0.777096088
8.300830083;0.878751152
8.400840084;0.899772308
8.500850085;0.839864297
8.600860086;0.706589671
8.700870087;0.510254125
8.800880088;0.270169614
8.900890089;0.006257194
9.00090009;-0.258719528
9.100910091;-0.50085761
9.200920092;-0.694344835
9.300930093;-0.827047921
9.400940094;-0.887471911
9.500950095;-0.86445181
9.600960096;-0.76851684
9.700970097;-0.600022494
9.800980098;-0.382236234
9.900990099;-0.129379801
10.0010001;0.133364254
10.1010101;0.384197313
